,Unnamed: 0,filename,names,counts
6,6,xPYr5BBLPrTOx6PADjeeuXd0VWE8WrF3xjml,['Unknown'],"{""owaisi"": 2}"
7,7,doeN733ZoNtXepVOb3LLfVN2vd7l87hQ5E9m,[],"{""modi"": 2}"
8,8,mPRdKmmXPdTZlxY4GekkTyYXxBJJeOIlggBp,['kejriwal'],"{""kejriwal"": 4, ""modi"": 1}"
9,9,WYmQD55VYQFAJLmeK5BBspelE0Dn1Kflee8m,[],"{""modi"": 4}"
0,0,doeN733ZoNtXepVOb3LLfVN3L6b813uQ6Pyj,[],"{""gandhi"": 1}"
1,1,geyK7EEbeKcKLjdR2EkkhLG3orY6mrsOLdw3,['Unknown'],"{""gandhi"": 6}"
2,2,Krvo655droUGWvZ8be77ukEYGPXnxWiBRZ4Q,['Unknown'],"{""yadav"": 3}"
3,3,eBXZeVVpBZTJbKDQjVEETgE0Dve4JYfmV51l,['Unknown'],"{""kejriwal"": 1}"
4,4,E5Kygoop5yCo58QGE9LLTw3rd6GdJocxY2mm,['Unknown'],"{""kejriwal"": 3, ""yadav"": 1}"
5,5,nOW1ZAAJO1hlJkpnoe00CQrO4ZoNNVFWJ6Ey,[],"{""kejriwal"": 3, ""modi"": 1, ""gandhi"": 1}"
6,6,8rZK0YYLrKU4BdrywPEESGRE6vE20XtvXOKR,[],"{""modi"": 6, ""gandhi"": 1}"
7,7,6P0OR443POT74XKY1x22TWkdLN6m2NTjok60,"['Unknown', 'Unknown', 'Unknown']","{""kejriwal"": 1}"
0,0,4rAQ0LLGrQUKdw6yVXpphPlZ6wLPJ8INZZ5j,[],"{""modi"": 1}"
1,1,yPQ3oWWEP3Tekd2ZX399up3Y8gmx7VsY4g5Q,['owaisi'],"{""yadav"": 1, ""owaisi"": 5}"
2,2,yPQ3oWWEP3Tekd2ZX399up396xrBD1tYDX0n,[],"{""modi"": 3, ""gandhi"": 1}"
3,3,Q3E26DDK32H4o28v3AZZSXpP43xAnjcZKXw4,['kejriwal'],"{""kejriwal"": 4, ""yadav"": 3}"
4,4,mPRdKmmXPdTZlxY4GekkTyYj21VDnKTlgoVK,"['gandhi', 'Unknown']","{""gandhi"": 1}"
5,5,eBXZeVVpBZTJbKDQjVEETgERZxVb7EhmV5Dw,[],"{""gandhi"": 1}"
6,6,wPNGm99VPGTEv5P09kddTRZ4vN162vfLQ5Z8,[],"{""yadav"": 1}"
7,7,pPGjB00lPjTdywNrOpZZTpyGn3ByAJud81yO,[],"{""owaisi"": 3, ""modi"": 1}"
8,8,mPRdKmmXPdTZlxY4GekkTyY4ojnjLrClyO7x,['kejriwal'],"{""kejriwal"": 1, ""yadav"": 1}"
9,9,Y7wdD55E7dtRp5PD0OeeClW1PDjP02TvYNZ1,['kejriwal'],"{""kejriwal"": 1, ""yadav"": 1, ""owaisi"": 1, ""gandhi"": 1}"
10,10,11QA4nnK1AHERwnV6AyyTblPdNO2W1INdneJ,['kejriwal'],"{""kejriwal"": 5}"
11,11,ArXogppwroUVpeDRgbGGTJkv88XdP8SN1e1Q,[],"{""kejriwal"": 6}"
12,12,2r7wN33WrwU5Xd0L7PbbIKZx5rnQJwipllJg,[],"{""gandhi"": 2}"
13,13,Nv3d655JvdTVOZ1ly0wwTvZjnZ88nWtAekWV,['Unknown'],"{""gandhi"": 2}"
14,14,geyK7EEbeKcKLjdR2EkkhLG3ywLo9ZSOmYnV,[],"{""modi"": 5}"
0,0,vP4j5223PjTGjVkr9pBBuELplmjmP7sXoW54,"['yadav', 'Unknown', 'kejriwal', 'Unknown']","{""kejriwal"": 4}"
1,1,pPGjB00lPjTdywNrOpZZTpyPNG11rAId3QpB,['Unknown'],"{""gandhi"": 1}"
2,2,lP5KZ77ePKTY8bQ6EpAATb4doWj0Apumvgwx,"['gandhi', 'Unknown', 'Unknown']","{""gandhi"": 1}"
3,3,Nv3d655JvdTVOZ1ly0wwTvZgW1GE41UANPkQ,[],"{""kejriwal"": 6}"
4,4,Zm0ZD559mZCjx85k06XXFXyVlA3EKNfdxg5N,[],"{""modi"": 1, ""gandhi"": 1}"
5,5,5rwR5EEnrRUd0X6N2Z11T27NQoxOb1IpoWJ6,['owaisi'],"{""owaisi"": 5}"
6,6,Drldx22ZrdUpXW2ENbPPFAKl8yY2VPtwRQBJ,['owaisi'],"{""owaisi"": 5}"
7,7,pPGjB00lPjTdywNrOpZZTpyPQNloB9IdmAZg,[],"{""kejriwal"": 2}"
8,8,6P0OR443POT74XKY1x22TWkZNmpVEmhjDKKV,"['kejriwal', 'Unknown', 'gandhi', 'modi']","{""modi"": 1, ""gandhi"": 1}"
9,9,WYmQD55VYQFAJLmeK5BBspelY1B7VAflPYZO,['kejriwal'],"{""kejriwal"": 6}"
10,0,5rwR5EEnrRUd0X6N2Z11T27ZXRKwj9cpoW04,[],"{""gandhi"": 4}"
11,1,Krvo655droUGWvZ8be77ukE86nY73wHByn6k,[],"{""gandhi"": 4}"
12,2,RV4L655WVLI9EjP0r2ppHd2ZGWbL2wUw2LyZ,"['Unknown', 'Unknown', 'Unknown']","{""gandhi"": 1}"
13,3,11QA4nnK1AHERwnV6AyyTblL16BPJeIN9k5J,[],"{""modi"": 2, ""gandhi"": 1}"
